uid,name,phone,region_name,area_name,distributor_name,territory_name,points,routes,notes
RET-000012848,Jahan Dokan,01899009669,Sylhet,Tilagarh,City Distributors,Tilagarh - Zone 2,784,Route-68,"Regular customer, prefers morning visits"
RET-000012849,Mia Enterprise,01312140482,Sylhet,Tilagarh,Elite Commerce,Tilagarh - Zone 4,781,Route-60,High volume retailer
RET-000012850,Malek Mini Mart,01999359251,Barishal,Gournadi,Evergreen Trading,Gournadi - Zone 3,654,Route-46,"Regular customer, prefers morning visits"
RET-000012851,Jahan Grocery,01863524269,Chattogram,Kotwali,Eastern Commerce,Kotwali - Zone 2,336,Route-69,
RET-000012852,Sultana Grocery,01738203830,Dhaka,Tejgaon,United Distributors,Tejgaon - Zone 5,635,Route-85,
RET-000012853,Iqbal Bhandar,01367381650,Mymensingh,Gafargaon,Star Distribution Co.,Gafargaon - Zone 5,261,Route-83,"New retailer, handle with care"
RET-000012854,Kamal Point,01691844463,Chattogram,Double Mooring,Pacific Distributors,Double Mooring - Zone 3,258,Route-52,
RET-000012855,Malek Enterprise,01867833312,Dhaka,Mohammadpur,Global Supply Chain,Mohammadpur - Zone 5,311,Route-89,
RET-000012856,Ahmed Dokan,01943634668,Dhaka,Tejgaon,AB Trading,Tejgaon - Zone 3,176,Route-38,Located near main market
RET-000012857,Akbar Enterprise,01964807898,Barishal,Babuganj,Sunrise Wholesale,Babuganj - Zone 3,846,Route-51,Payment always on time
RET-000012858,Reza Mart,01973454455,Dhaka,Dhanmondi,Royal Traders,Dhanmondi - Zone 1,78,Route-22,Needs follow-up on pending order
RET-000012859,Rahman Grocery,01764281100,Sylhet,Tilagarh,Pacific Distributors,Tilagarh - Zone 1,681,Route-63,"New retailer, handle with care"
RET-000012860,Chowdhury Point,01649569515,Barishal,Gournadi,Pacific Distributors,Gournadi - Zone 4,537,Route-88,Payment always on time
RET-000012861,Mia Varieties,01590853560,Mymensingh,Bhaluka,Rahman Enterprises,Bhaluka - Zone 2,4,Route-35,Located near main market
RET-000012862,Sarkar Store,01784464767,Chattogram,Nasirabad,Pacific Distributors,Nasirabad - Zone 2,483,Route-62,Located near main market
RET-000012863,Ali Wholesale,01972379792,Barishal,Gournadi,Mega Trade BD,Gournadi - Zone 4,731,Route-80,
RET-000012864,Taher Varieties,01536059722,Dhaka,Dhanmondi,Rahman Enterprises,Dhanmondi - Zone 5,594,Route-84,Needs follow-up on pending order
RET-000012865,Sharif Grocery,01381475267,Chattogram,Nasirabad,Royal Traders,Nasirabad - Zone 4,767,Route-92,"Regular customer, prefers morning visits"
RET-000012866,Sarkar Varieties,01688987281,Barishal,Banaripara,Crystal Distributors,Banaripara - Zone 3,189,Route-95,Prefers WhatsApp communication
RET-000012867,Chowdhury Shop,01314026450,Dhaka,Gulshan,Diamond Wholesale,Gulshan - Zone 2,51,Route-63,High volume retailer
RET-000012868,Mia Grocery,01739392071,Sylhet,Kumarpara,Khan Brothers,Kumarpara - Zone 2,760,Route-100,
RET-000012869,Bhuiyan Mini Mart,01789051585,Dhaka,Gulshan,Delta Suppliers,Gulshan - Zone 4,503,Route-7,Located near main market
RET-000012870,Sultana Point,01732494481,Rangpur,Pirganj,AB Trading,Pirganj - Zone 5,573,Route-67,Needs follow-up on pending order
RET-000012871,Alam Corner,01316006757,Rajshahi,Boalia,Crystal Distributors,Boalia - Zone 4,707,Route-58,
RET-000012872,Kabir Varieties,01328528300,Chattogram,Nasirabad,Khan Brothers,Nasirabad - Zone 5,406,Route-3,Payment always on time
RET-000012873,Kamal Trading,01917743353,Rangpur,Badarganj,Eastern Commerce,Badarganj - Zone 4,224,Route-19,"Regular customer, prefers morning visits"
RET-000012874,Begum General Store,01633087622,Sylhet,Subid Bazar,Pacific Distributors,Subid Bazar - Zone 5,914,Route-67,Located near main market
RET-000012875,Siddique Dokan,01879792939,Sylhet,South Surma,Mega Trade BD,South Surma - Zone 5,391,Route-90,
RET-000012876,Das Trading,01558006962,Dhaka,Gulshan,AB Trading,Gulshan - Zone 5,322,Route-7,Located near main market
RET-000012877,Das Dokan,01332654512,Khulna,Batiaghata,Elite Commerce,Batiaghata - Zone 4,948,Route-21,
RET-000012878,Sultana Trading,01335327615,Rangpur,Gangachara,Crystal Distributors,Gangachara - Zone 3,402,Route-26,
RET-000012879,Kabir Shop,01794559124,Rajshahi,Motihar,City Distributors,Motihar - Zone 3,776,Route-28,
RET-000012880,Akter Mini Mart,01742972472,Mymensingh,Gafargaon,Nation Suppliers,Gafargaon - Zone 1,554,Route-40,Located near main market
RET-000012881,Mondal Mart,01753860402,Dhaka,Savar,Pacific Distributors,Savar - Zone 4,154,Route-58,
RET-000012882,Iqbal Dokan,01611341798,Mymensingh,Bhaluka,Khan Brothers,Bhaluka - Zone 1,903,Route-17,"New retailer, handle with care"
RET-000012883,Das Varieties,01641123385,Sylhet,South Surma,Khan Brothers,South Surma - Zone 3,892,Route-1,Payment always on time
RET-000012884,Taher Trading,01980451313,Mymensingh,Gafargaon,Khan Brothers,Gafargaon - Zone 1,399,Route-97,
RET-000012885,Sultana Mart,01345207349,Rajshahi,Rajpara,Diamond Wholesale,Rajpara - Zone 2,954,Route-32,Located near main market
RET-000012886,Reza Trading,01843227464,Sylhet,South Surma,Khan Brothers,South Surma - Zone 1,505,Route-22,"Regular customer, prefers morning visits"
RET-000012887,Reza Bhandar,01668613194,Khulna,Boyra,Pacific Distributors,Boyra - Zone 4,898,Route-63,High volume retailer
RET-000012888,Alam Grocery,01648668249,Rajshahi,Katakhali,Bangla Trade House,Katakhali - Zone 4,724,Route-83,"New retailer, handle with care"
RET-000012889,Sultana Dokan,01970341586,Sylhet,South Surma,Evergreen Trading,South Surma - Zone 2,285,Route-55,Located near main market
RET-000012890,Alam Grocery,01574433120,Barishal,Kotwali,Delta Suppliers,Kotwali - Zone 2,266,Route-40,Payment always on time
RET-000012891,Akter Varieties,01679769397,Sylhet,Subid Bazar,AB Trading,Subid Bazar - Zone 4,604,Route-32,
RET-000012892,Sarkar Retail Hub,01750702552,Chattogram,Halishahar,Eastern Commerce,Halishahar - Zone 1,376,Route-69,Payment always on time
RET-000012893,Sultana Store,01938704986,Barishal,Kotwali,City Distributors,Kotwali - Zone 1,469,Route-53,
RET-000012894,Chowdhury Super Shop,01817344356,Sylhet,Kumarpara,Eastern Commerce,Kumarpara - Zone 1,647,Route-61,
RET-000012895,Jahan Corner,01399055935,Rangpur,Gangachara,United Distributors,Gangachara - Zone 1,288,Route-84,High volume retailer
RET-000012896,Uddin Store,01540941895,Khulna,Sonadanga,Bangla Trade House,Sonadanga - Zone 5,999,Route-28,
RET-000012897,Haque Shop,01533334912,Khulna,Khan Jahan Ali,Diamond Wholesale,Khan Jahan Ali - Zone 5,666,Route-49,
RET-000012898,Bhuiyan Bhandar,01589950620,Dhaka,Motijheel,Star Distribution Co.,Motijheel - Zone 2,865,Route-88,"Bulk buyer, offer discounts"
RET-000012899,Sharif Paiker,01371859145,Barishal,Kotwali,Global Supply Chain,Kotwali - Zone 1,895,Route-47,
RET-000012900,Rahman Varieties,01532713197,Rangpur,Mithapukur,Delta Suppliers,Mithapukur - Zone 5,741,Route-99,
RET-000012901,Uddin Paiker,01629696388,Rangpur,Gangachara,Nation Suppliers,Gangachara - Zone 3,779,Route-85,Prefers WhatsApp communication
RET-000012902,Sultana Store,01650092230,Barishal,Babuganj,Royal Traders,Babuganj - Zone 5,806,Route-27,"Regular customer, prefers morning visits"
RET-000012903,Sarkar Bhandar,01645001062,Dhaka,Motijheel,Diamond Wholesale,Motijheel - Zone 3,941,Route-73,
RET-000012904,Jahan Enterprise,01947806690,Chattogram,Nasirabad,Pacific Distributors,Nasirabad - Zone 3,931,Route-93,Located near main market
RET-000012905,Ali Trading,01825162141,Dhaka,Tejgaon,City Distributors,Tejgaon - Zone 2,208,Route-98,
RET-000012906,Jahan Varieties,01650063954,Dhaka,Tejgaon,Star Distribution Co.,Tejgaon - Zone 3,397,Route-78,"New retailer, handle with care"
RET-000012907,Das Store,01749313458,Barishal,Babuganj,Sunrise Wholesale,Babuganj - Zone 2,314,Route-66,"Bulk buyer, offer discounts"
RET-000012908,Khan Mart,01922475000,Barishal,Babuganj,Elite Commerce,Babuganj - Zone 2,82,Route-8,"Regular customer, prefers morning visits"
RET-000012909,Khan Enterprise,01812058970,Mymensingh,Trishal,Mega Trade BD,Trishal - Zone 3,234,Route-74,"Bulk buyer, offer discounts"
RET-000012910,Noor Corner,01963927375,Rangpur,Kaunia,Eastern Commerce,Kaunia - Zone 5,835,Route-35,
RET-000012911,Uddin Dokan,01890821460,Rangpur,Gangachara,Khan Brothers,Gangachara - Zone 4,805,Route-71,High volume retailer
RET-000012912,Akbar Shop,01933697591,Mymensingh,Gafargaon,Bangla Trade House,Gafargaon - Zone 5,853,Route-53,Prefers WhatsApp communication
RET-000012913,Khan General Store,01523290839,Sylhet,Tilagarh,Sunrise Wholesale,Tilagarh - Zone 2,585,Route-10,Payment always on time
RET-000012914,Malek Mart,01946980980,Chattogram,Nasirabad,Eastern Commerce,Nasirabad - Zone 3,511,Route-13,"Regular customer, prefers morning visits"
RET-000012915,Akter Mini Mart,01851788119,Dhaka,Motijheel,Diamond Wholesale,Motijheel - Zone 3,836,Route-33,
RET-000012916,Taher General Store,01772244660,Rangpur,Gangachara,Diamond Wholesale,Gangachara - Zone 3,622,Route-43,Located near main market
RET-000012917,Begum Varieties,01350978385,Sylhet,South Surma,Khan Brothers,South Surma - Zone 2,961,Route-80,"Bulk buyer, offer discounts"
RET-000012918,Sultana General Store,01790766505,Rangpur,Mithapukur,United Distributors,Mithapukur - Zone 1,13,Route-13,Payment always on time
RET-000012919,Kamal Paiker,01336224819,Rangpur,Mithapukur,Rahman Enterprises,Mithapukur - Zone 2,444,Route-91,
RET-000012920,Ahmed General Store,01615314694,Sylhet,Ambarkhana,Crystal Distributors,Ambarkhana - Zone 4,775,Route-100,High volume retailer
RET-000012921,Sarkar Super Shop,01943520446,Chattogram,Halishahar,United Distributors,Halishahar - Zone 3,804,Route-6,Needs follow-up on pending order
RET-000012922,Khan Varieties,01984759820,Rajshahi,Paba,Bangla Trade House,Paba - Zone 1,156,Route-89,High volume retailer
RET-000012923,Rahman Bhandar,01852580958,Sylhet,Ambarkhana,Diamond Wholesale,Ambarkhana - Zone 5,318,Route-70,
RET-000012924,Sultana Varieties,01859255570,Barishal,Babuganj,Mega Trade BD,Babuganj - Zone 2,122,Route-23,"New retailer, handle with care"
RET-000012925,Taher Wholesale,01636246882,Mymensingh,Trishal,Rahman Enterprises,Trishal - Zone 4,568,Route-46,Payment always on time
RET-000012926,Mondal Mart,01581850688,Dhaka,Bashundhara,AB Trading,Bashundhara - Zone 2,813,Route-98,
RET-000012927,Noor Super Shop,01363023377,Chattogram,Panchlaish,Eastern Commerce,Panchlaish - Zone 1,282,Route-62,Prefers WhatsApp communication
RET-000012928,Hossain Point,01742369842,Dhaka,Mirpur,Pacific Distributors,Mirpur - Zone 2,22,Route-33,"Bulk buyer, offer discounts"
RET-000012929,Chowdhury Mini Mart,01335583878,Sylhet,Subid Bazar,Crystal Distributors,Subid Bazar - Zone 4,437,Route-88,Prefers WhatsApp communication
RET-000012930,Sarkar Super Shop,01717809510,Barishal,Airport,Eastern Commerce,Airport - Zone 3,871,Route-57,
RET-000012931,Sultana Shop,01988377026,Barishal,Babuganj,Eastern Commerce,Babuganj - Zone 2,817,Route-83,Prefers WhatsApp communication
RET-000012932,Noor Retail Hub,01320724116,Dhaka,Savar,Eastern Commerce,Savar - Zone 2,656,Route-76,"Regular customer, prefers morning visits"
RET-000012933,Jahan General Store,01336090528,Mymensingh,Bhaluka,Pacific Distributors,Bhaluka - Zone 2,814,Route-14,Payment always on time
RET-000012934,Taher Grocery,01732937356,Dhaka,Mohammadpur,AB Trading,Mohammadpur - Zone 4,272,Route-90,Prefers WhatsApp communication
RET-000012935,Kabir Bhandar,01933758990,Chattogram,Kotwali,Royal Traders,Kotwali - Zone 5,484,Route-44,
RET-000012936,Bhuiyan General Store,01791405577,Chattogram,Halishahar,Khan Brothers,Halishahar - Zone 3,74,Route-49,
RET-000012937,Das Bhandar,01320084523,Khulna,Khalishpur,Elite Commerce,Khalishpur - Zone 1,803,Route-13,Prefers WhatsApp communication
RET-000012938,Alam Store,01593212855,Dhaka,Motijheel,AB Trading,Motijheel - Zone 2,352,Route-2,Located near main market
RET-000012939,Chowdhury Super Shop,01814349191,Khulna,Khalishpur,Royal Traders,Khalishpur - Zone 2,340,Route-18,"New retailer, handle with care"
RET-000012940,Siddique Retail Hub,01971206407,Rajshahi,Shah Makhdum,Bangla Trade House,Shah Makhdum - Zone 5,814,Route-35,"Bulk buyer, offer discounts"
RET-000012941,Bhuiyan Super Shop,01558706721,Sylhet,Ambarkhana,Prime Wholesale,Ambarkhana - Zone 2,732,Route-79,"Bulk buyer, offer discounts"
RET-000012942,Taher Enterprise,01746041199,Rajshahi,Rajpara,Delta Suppliers,Rajpara - Zone 4,491,Route-7,"New retailer, handle with care"
RET-000012943,Akter Dokan,01681054804,Barishal,Babuganj,Rahman Enterprises,Babuganj - Zone 1,301,Route-57,Prefers WhatsApp communication
RET-000012944,Kabir Dokan,01729123416,Dhaka,Gulshan,Global Supply Chain,Gulshan - Zone 4,340,Route-72,
RET-000012945,Islam Varieties,01320400356,Dhaka,Mohammadpur,United Distributors,Mohammadpur - Zone 4,270,Route-61,
RET-000012946,Kabir Store,01766575424,Rangpur,Pirganj,United Distributors,Pirganj - Zone 5,709,Route-39,Located near main market
RET-000012947,Jahan Grocery,01989384006,Rangpur,Mithapukur,Prime Wholesale,Mithapukur - Zone 3,655,Route-15,
RET-000012948,Sharif Trading,01869299426,Chattogram,Panchlaish,Global Supply Chain,Panchlaish - Zone 5,445,Route-78,Needs follow-up on pending order
RET-000012949,Sultana Bhandar,01311313612,Khulna,Khalishpur,Sunrise Wholesale,Khalishpur - Zone 5,697,Route-34,"New retailer, handle with care"
RET-000012950,Siddique Trading,01586007626,Mymensingh,Trishal,Khan Brothers,Trishal - Zone 1,13,Route-19,"Regular customer, prefers morning visits"
RET-000012951,Alam Bhandar,01524953755,Mymensingh,Fulbaria,Royal Traders,Fulbaria - Zone 2,11,Route-44,Located near main market
RET-000012952,Chowdhury Point,01385430810,Khulna,Boyra,Star Distribution Co.,Boyra - Zone 5,431,Route-14,"New retailer, handle with care"
RET-000012953,Iqbal Enterprise,01632404181,Barishal,Banaripara,Global Supply Chain,Banaripara - Zone 3,270,Route-55,
RET-000012954,Reza Grocery,01519250085,Rajshahi,Shah Makhdum,Star Distribution Co.,Shah Makhdum - Zone 4,309,Route-84,"Regular customer, prefers morning visits"
RET-000012955,Rahman Dokan,01789769562,Khulna,Daulatpur,Evergreen Trading,Daulatpur - Zone 2,276,Route-83,High volume retailer
RET-000012956,Alam General Store,01536364278,Khulna,Boyra,Eastern Commerce,Boyra - Zone 2,953,Route-36,Prefers WhatsApp communication
RET-000012957,Alam Bhandar,01322649707,Sylhet,Subid Bazar,Royal Traders,Subid Bazar - Zone 1,848,Route-96,Payment always on time
RET-000012958,Hossain Mart,01563386067,Rangpur,Mithapukur,Evergreen Trading,Mithapukur - Zone 5,604,Route-39,Prefers WhatsApp communication
RET-000012959,Uddin Trading,01779146224,Mymensingh,Trishal,Khan Brothers,Trishal - Zone 1,142,Route-89,"New retailer, handle with care"
RET-000012960,Iqbal Super Shop,01657163284,Dhaka,Mirpur,Sunrise Wholesale,Mirpur - Zone 3,603,Route-73,Needs follow-up on pending order
RET-000012961,Reza Mini Mart,01561702913,Rajshahi,Rajpara,City Distributors,Rajpara - Zone 1,472,Route-60,
RET-000012962,Khan Store,01821246250,Barishal,Banaripara,Bangla Trade House,Banaripara - Zone 3,24,Route-32,Needs follow-up on pending order
RET-000012963,Taher General Store,01351746606,Chattogram,Agrabad,Mega Trade BD,Agrabad - Zone 1,191,Route-12,
RET-000012964,Khan Mini Mart,01367844448,Barishal,Barishal Sadar,City Distributors,Barishal Sadar - Zone 4,53,Route-5,"New retailer, handle with care"
RET-000012965,Malek Corner,01615904451,Chattogram,Double Mooring,Bangla Trade House,Double Mooring - Zone 5,765,Route-21,"Bulk buyer, offer discounts"
RET-000012966,Jahan Trading,01560903135,Chattogram,Chandgaon,AB Trading,Chandgaon - Zone 2,411,Route-30,Needs follow-up on pending order
RET-000012967,Sharif Retail Hub,01753378035,Khulna,Daulatpur,Rahman Enterprises,Daulatpur - Zone 4,382,Route-66,Located near main market
RET-000012968,Akbar Varieties,01759228435,Dhaka,Banani,Diamond Wholesale,Banani - Zone 5,21,Route-37,
RET-000012969,Rahman Paiker,01837609497,Rangpur,Rangpur Sadar,Diamond Wholesale,Rangpur Sadar - Zone 5,319,Route-77,Needs follow-up on pending order
RET-000012970,Kabir Retail Hub,01969076210,Rajshahi,Katakhali,Delta Suppliers,Katakhali - Zone 1,726,Route-24,Needs follow-up on pending order
RET-000012971,Kabir Corner,01946953460,Sylhet,Ambarkhana,Eastern Commerce,Ambarkhana - Zone 3,841,Route-19,"New retailer, handle with care"
RET-000012972,Malek Point,01958863566,Khulna,Khan Jahan Ali,Evergreen Trading,Khan Jahan Ali - Zone 1,815,Route-51,"Regular customer, prefers morning visits"
RET-000012973,Ahmed Mart,01734197324,Chattogram,Halishahar,Pacific Distributors,Halishahar - Zone 3,950,Route-29,Payment always on time
RET-000012974,Malek Store,01872066431,Rangpur,Rangpur Sadar,Elite Commerce,Rangpur Sadar - Zone 3,38,Route-18,High volume retailer
RET-000012975,Haque Super Shop,01928844709,Rangpur,Rangpur Sadar,Sunrise Wholesale,Rangpur Sadar - Zone 5,148,Route-43,
RET-000012976,Alam Dokan,01850274142,Rangpur,Gangachara,Global Supply Chain,Gangachara - Zone 2,8,Route-50,
RET-000012977,Kamal Dokan,01912961271,Mymensingh,Fulbaria,Eastern Commerce,Fulbaria - Zone 2,177,Route-2,High volume retailer
RET-000012978,Akter Paiker,01517718217,Rangpur,Kaunia,Prime Wholesale,Kaunia - Zone 3,240,Route-83,Payment always on time
RET-000012979,Das Varieties,01680506915,Khulna,Sonadanga,Royal Traders,Sonadanga - Zone 2,845,Route-70,Payment always on time
RET-000012980,Ahmed Enterprise,01369295625,Dhaka,Motijheel,Prime Wholesale,Motijheel - Zone 2,4,Route-60,
RET-000012981,Jahan Enterprise,01612896953,Khulna,Khan Jahan Ali,Sunrise Wholesale,Khan Jahan Ali - Zone 2,356,Route-2,
RET-000012982,Taher General Store,01754639473,Sylhet,Kumarpara,Royal Traders,Kumarpara - Zone 4,220,Route-100,High volume retailer
RET-000012983,Bhuiyan Corner,01820754950,Dhaka,Uttara,Crystal Distributors,Uttara - Zone 2,435,Route-18,Needs follow-up on pending order
RET-000012984,Jahan Corner,01328962010,Chattogram,Double Mooring,Evergreen Trading,Double Mooring - Zone 1,778,Route-60,"Bulk buyer, offer discounts"
RET-000012985,Taher Enterprise,01834684814,Khulna,Daulatpur,Mega Trade BD,Daulatpur - Zone 4,226,Route-8,"Bulk buyer, offer discounts"
RET-000012986,Sarkar Super Shop,01751667747,Chattogram,Double Mooring,Elite Commerce,Double Mooring - Zone 1,48,Route-80,Needs follow-up on pending order
RET-000012987,Bhuiyan Shop,01561441306,Mymensingh,Muktagachha,Pacific Distributors,Muktagachha - Zone 1,775,Route-47,
RET-000012988,Khan Trading,01964305609,Khulna,Sonadanga,Star Distribution Co.,Sonadanga - Zone 3,237,Route-30,Payment always on time
RET-000012989,Bhuiyan Dokan,01719425374,Barishal,Barishal Sadar,Star Distribution Co.,Barishal Sadar - Zone 3,30,Route-64,Needs follow-up on pending order
RET-000012990,Iqbal Shop,01851009871,Chattogram,Double Mooring,Diamond Wholesale,Double Mooring - Zone 2,36,Route-15,Prefers WhatsApp communication
RET-000012991,Haque Mini Mart,01369071411,Barishal,Barishal Sadar,Sunrise Wholesale,Barishal Sadar - Zone 4,788,Route-88,Prefers WhatsApp communication
RET-000012992,Bhuiyan Store,01848702564,Dhaka,Bashundhara,AB Trading,Bashundhara - Zone 3,344,Route-87,Payment always on time
RET-000012993,Sarkar Shop,01890206659,Rangpur,Badarganj,Delta Suppliers,Badarganj - Zone 4,683,Route-36,
RET-000012994,Sarkar Point,01316700158,Rangpur,Rangpur Sadar,Sunrise Wholesale,Rangpur Sadar - Zone 1,704,Route-71,"Regular customer, prefers morning visits"
RET-000012995,Mia Point,01353252437,Khulna,Khalishpur,Rahman Enterprises,Khalishpur - Zone 1,71,Route-80,"Regular customer, prefers morning visits"
RET-000012996,Ahmed Grocery,01891099378,Rangpur,Mithapukur,Royal Traders,Mithapukur - Zone 2,732,Route-26,Prefers WhatsApp communication
RET-000012997,Ali Grocery,01855343276,Mymensingh,Muktagachha,Star Distribution Co.,Muktagachha - Zone 5,303,Route-40,
RET-000012998,Alam Wholesale,01627830109,Mymensingh,Mymensingh Sadar,Elite Commerce,Mymensingh Sadar - Zone 4,719,Route-4,"Regular customer, prefers morning visits"
RET-000012999,Uddin Corner,01997541456,Chattogram,Chandgaon,Rahman Enterprises,Chandgaon - Zone 1,79,Route-62,
RET-000013000,Noor Mini Mart,01968655902,Rajshahi,Paba,Pacific Distributors,Paba - Zone 1,155,Route-60,
RET-000013001,Uddin Paiker,01845706096,Barishal,Kotwali,Pacific Distributors,Kotwali - Zone 3,966,Route-39,"New retailer, handle with care"
RET-000013002,Khatun Enterprise,01990234062,Mymensingh,Mymensingh Sadar,Delta Suppliers,Mymensingh Sadar - Zone 2,216,Route-24,"New retailer, handle with care"
RET-000013003,Khan Point,01584420725,Rangpur,Rangpur Sadar,Bangla Trade House,Rangpur Sadar - Zone 1,225,Route-32,"Bulk buyer, offer discounts"
RET-000013004,Bhuiyan Dokan,01664436606,Chattogram,Kotwali,Rahman Enterprises,Kotwali - Zone 5,930,Route-39,Located near main market
RET-000013005,Chowdhury Corner,01754356512,Chattogram,Halishahar,Eastern Commerce,Halishahar - Zone 5,140,Route-93,Payment always on time
RET-000013006,Haque Enterprise,01664363069,Sylhet,Subid Bazar,Diamond Wholesale,Subid Bazar - Zone 4,798,Route-38,High volume retailer
RET-000013007,Alam Retail Hub,01845199033,Dhaka,Bashundhara,Pacific Distributors,Bashundhara - Zone 2,157,Route-61,
RET-000013008,Haque Store,01880197177,Khulna,Khan Jahan Ali,United Distributors,Khan Jahan Ali - Zone 3,872,Route-68,"New retailer, handle with care"
RET-000013009,Taher Store,01813430471,Dhaka,Motijheel,Rahman Enterprises,Motijheel - Zone 1,44,Route-16,"New retailer, handle with care"
RET-000013010,Islam Grocery,01650803050,Khulna,Sonadanga,Delta Suppliers,Sonadanga - Zone 5,613,Route-12,High volume retailer
RET-000013011,Khan Store,01815450626,Dhaka,Motijheel,Eastern Commerce,Motijheel - Zone 3,834,Route-46,Prefers WhatsApp communication
RET-000013012,Chowdhury Shop,01691506576,Sylhet,South Surma,Evergreen Trading,South Surma - Zone 3,802,Route-100,"Regular customer, prefers morning visits"
RET-000013013,Kamal Corner,01791656434,Dhaka,Tejgaon,Star Distribution Co.,Tejgaon - Zone 5,932,Route-71,"Regular customer, prefers morning visits"
RET-000013014,Mondal Super Shop,01973753604,Khulna,Sonadanga,Global Supply Chain,Sonadanga - Zone 2,292,Route-44,"Regular customer, prefers morning visits"
RET-000013015,Noor Grocery,01814070712,Sylhet,Zindabazar,Diamond Wholesale,Zindabazar - Zone 4,794,Route-82,
RET-000013016,Hossain Mart,01855217460,Dhaka,Gulshan,City Distributors,Gulshan - Zone 3,348,Route-11,Needs follow-up on pending order
RET-000013017,Jahan Super Shop,01650964740,Chattogram,Chandgaon,Rahman Enterprises,Chandgaon - Zone 4,114,Route-44,
RET-000013018,Sultana Shop,01788749918,Chattogram,Double Mooring,Diamond Wholesale,Double Mooring - Zone 1,603,Route-57,Needs follow-up on pending order
RET-000013019,Kamal Corner,01560472136,Dhaka,Dhanmondi,City Distributors,Dhanmondi - Zone 3,238,Route-37,"Regular customer, prefers morning visits"
RET-000013020,Sarkar Grocery,01612805442,Dhaka,Uttara,Diamond Wholesale,Uttara - Zone 5,993,Route-71,Prefers WhatsApp communication
RET-000013021,Akter Retail Hub,01982801980,Rangpur,Kaunia,Pacific Distributors,Kaunia - Zone 1,382,Route-89,"New retailer, handle with care"
RET-000013022,Rahman Super Shop,01936252595,Barishal,Banaripara,Pacific Distributors,Banaripara - Zone 5,392,Route-17,"New retailer, handle with care"
RET-000013023,Ali Point,01573402834,Barishal,Airport,AB Trading,Airport - Zone 5,748,Route-96,
RET-000013024,Hossain Point,01589965891,Mymensingh,Muktagachha,City Distributors,Muktagachha - Zone 5,384,Route-1,"Regular customer, prefers morning visits"
RET-000013025,Khan General Store,01669883242,Dhaka,Mirpur,Sunrise Wholesale,Mirpur - Zone 1,357,Route-92,
RET-000013026,Noor Dokan,01388935465,Rajshahi,Katakhali,Nation Suppliers,Katakhali - Zone 1,7,Route-65,
RET-000013027,Akter Mart,01675064924,Rangpur,Gangachara,United Distributors,Gangachara - Zone 4,198,Route-64,High volume retailer
RET-000013028,Alam Retail Hub,01760000591,Khulna,Boyra,Nation Suppliers,Boyra - Zone 1,742,Route-42,Needs follow-up on pending order
RET-000013029,Taher Grocery,01570795031,Khulna,Daulatpur,Crystal Distributors,Daulatpur - Zone 4,587,Route-76,
RET-000013030,Khatun Mart,01857500678,Mymensingh,Trishal,Nation Suppliers,Trishal - Zone 4,955,Route-59,
RET-000013031,Malek Trading,01755418251,Khulna,Boyra,Pacific Distributors,Boyra - Zone 2,7,Route-50,
RET-000013032,Bhuiyan Corner,01882984042,Sylhet,Ambarkhana,Evergreen Trading,Ambarkhana - Zone 4,476,Route-26,High volume retailer
RET-000013033,Khatun Dokan,01770710218,Chattogram,Double Mooring,Star Distribution Co.,Double Mooring - Zone 3,914,Route-86,Needs follow-up on pending order
RET-000013034,Bhuiyan Varieties,01744486306,Chattogram,Panchlaish,Rahman Enterprises,Panchlaish - Zone 3,155,Route-51,Payment always on time
RET-000013035,Alam Retail Hub,01963007353,Barishal,Airport,Elite Commerce,Airport - Zone 1,900,Route-62,Located near main market
RET-000013036,Ali Trading,01583408717,Dhaka,Bashundhara,Khan Brothers,Bashundhara - Zone 5,480,Route-3,
RET-000013037,Khatun Grocery,01986023216,Chattogram,Nasirabad,Bangla Trade House,Nasirabad - Zone 1,670,Route-99,Prefers WhatsApp communication
RET-000013038,Akbar Grocery,01957530318,Dhaka,Bashundhara,Sunrise Wholesale,Bashundhara - Zone 4,104,Route-30,High volume retailer
RET-000013039,Sharif Bhandar,01522332038,Chattogram,Halishahar,Crystal Distributors,Halishahar - Zone 3,446,Route-64,High volume retailer
RET-000013040,Mia Corner,01549262454,Mymensingh,Bhaluka,Star Distribution Co.,Bhaluka - Zone 3,804,Route-32,Located near main market
RET-000013041,Malek Trading,01336802385,Sylhet,Kumarpara,Khan Brothers,Kumarpara - Zone 2,179,Route-90,
RET-000013042,Jahan Enterprise,01397143820,Khulna,Batiaghata,Global Supply Chain,Batiaghata - Zone 5,672,Route-80,Needs follow-up on pending order
RET-000013043,Das General Store,01354759192,Khulna,Khalishpur,Prime Wholesale,Khalishpur - Zone 1,858,Route-74,High volume retailer
RET-000013044,Das Enterprise,01317057271,Mymensingh,Mymensingh Sadar,City Distributors,Mymensingh Sadar - Zone 3,573,Route-72,Payment always on time
RET-000013045,Akbar Mini Mart,01310946370,Dhaka,Mohammadpur,Star Distribution Co.,Mohammadpur - Zone 4,512,Route-81,Needs follow-up on pending order
RET-000013046,Malek Corner,01768799033,Rajshahi,Rajpara,AB Trading,Rajpara - Zone 3,691,Route-72,
RET-000013047,Kamal Mini Mart,01326083429,Chattogram,Kotwali,Rahman Enterprises,Kotwali - Zone 5,65,Route-73,Prefers WhatsApp communication
